epoch,train_loss,val_loss
1,128104.9923537234,115932.0546875
2,68719.2149268617,19188.97265625
3,15182.782060339096,12193.201171875
4,10784.809591090425,9440.7744140625
5,8397.183656083776,7268.06884765625
6,6259.258321559176,5220.30810546875
7,4401.414228723404,3620.275390625
8,3060.654790350731,2575.47509765625
9,2325.47952854887,2160.4091796875
10,2090.4990104512967,2054.175048828125
11,2017.0428284990026,2000.947998046875
12,1968.9184362533244,1948.5946044921875
13,1917.2215757978724,1891.2862548828125
14,1853.415426051363,1821.1766357421875
15,1773.6569174908577,1743.4249267578125
16,1705.904548807347,1677.99365234375
17,1646.0991834275267,1628.90966796875
18,1609.1174757937167,1590.398681640625
19,1567.9870241855053,1560.339599609375
20,1535.7953660031583,1520.74658203125
21,1498.81430248504,1483.94091796875
22,1466.8495392495013,1446.7156982421875
23,1431.9900967212434,1409.2230224609375
24,1375.690985497008,1357.3370361328125
25,1331.705096305685,1305.24609375
26,1267.3579841776098,1243.811767578125
27,1202.2617096596575,1171.23046875
28,1120.3922300947474,1071.2891845703125
29,1002.8032395383145,940.5982055664062
30,854.626573927859,767.86865234375
31,671.0805086176446,591.5150146484375
32,510.17743114714926,459.2265319824219
33,415.1817867197889,388.33984375
34,360.72895748057266,354.59649658203125
35,339.18394470214844,340.91534423828125
36,330.0485268450798,332.5665283203125
37,322.5530496150889,326.6741638183594
38,336.99892896286985,321.5760192871094
39,314.60338933417137,315.94805908203125
40,309.1043152504779,310.9152526855469
41,306.0865088929521,309.36260986328125
42,304.62746900193235,304.2691955566406
43,298.47660438050616,301.0755310058594
44,295.416533774518,299.726318359375
45,300.3533120662608,295.35186767578125
46,296.78848883446227,295.8320617675781
47,288.0004600362575,288.6499938964844
48,284.2087895819481,285.5777893066406
49,281.6731525177651,282.8576965332031
50,279.20335388183594,281.8951721191406
51,277.1210210272606,277.48992919921875
52,273.35658588815244,274.32159423828125
53,271.62789754664647,271.7950134277344
54,268.83416942839926,268.4001159667969
55,267.42501960916724,266.9438171386719
56,266.7831248831242,267.0092468261719
57,262.99326373161153,261.1159973144531
58,275.69099491200546,261.6327819824219
59,257.8384870163938,256.783203125
60,255.35351140448387,253.4633331298828
61,259.97916071465676,251.20285034179688
62,251.99370915839012,248.97467041015625
63,253.75289559871592,247.49305725097656
64,248.0431200392703,244.7239532470703
65,246.35642745647024,243.30078125
66,242.42459366169382,240.9665069580078
67,241.34488304625165,237.7727813720703
68,247.10071612418966,238.1346893310547
69,237.82422183422332,235.8415985107422
70,237.20587125737617,232.90977478027344
71,239.04627471274517,232.2503662109375
72,232.1356990083735,226.73931884765625
73,236.35982886781085,224.9405517578125
74,227.4014944522939,227.5650634765625
75,230.11132195655335,219.9387969970703
76,222.61201298490485,220.5218048095703
77,222.56157700558927,217.0403289794922
78,220.60552296739942,215.57562255859375
79,218.0672269780585,215.7688446044922
80,217.8776686648105,214.8906707763672
81,219.4220473918509,212.6666717529297
82,219.80871744358794,213.90390014648438
83,215.32736822899352,208.04376220703125
84,210.32246756046376,205.41290283203125
85,208.37642815772523,204.66635131835938
86,207.67002057014628,202.3781280517578
87,216.2132328114611,205.27940368652344
88,206.84938503833527,201.5126953125
89,204.89438125935007,202.33102416992188
90,203.3739494161403,199.8158721923828
91,201.3376224598986,196.416015625
92,199.1804147273936,194.6914825439453
93,199.07026152915142,195.00640869140625
94,197.05888155673412,193.09817504882812
95,195.75016622340425,194.1879119873047
96,196.24670507552776,192.09483337402344
97,196.1352636459026,193.04623413085938
98,193.75100708007812,187.85369873046875
99,191.92281747371592,186.56890869140625
100,191.11921399704954,188.00494384765625
101,190.27039970235623,187.7501220703125
102,193.23062490909658,185.2812042236328
103,189.14469747340425,184.0093536376953
104,187.37642133996843,182.95269775390625
105,186.8868453654837,181.06350708007812
106,185.73075152458028,180.09652709960938
107,186.83810522201213,179.41358947753906
108,184.0380453556142,182.32528686523438
109,185.08394249449384,179.64646911621094
110,183.15045052386344,177.95460510253906
111,183.08790620844414,176.2469024658203
112,181.84478808463888,175.60121154785156
113,180.76114979196103,175.14553833007812
114,181.8610099630153,175.44680786132812
115,178.79748713716546,173.63221740722656
116,179.85265269178026,173.8660888671875
117,179.20516156135722,171.96607971191406
118,177.836940359562,175.25303649902344
119,177.40437138334235,172.7270050048828
120,177.0199425879945,169.94459533691406
