target,pol,left_gamma,right_gamma,R_left,R_right,delta_R,N_required_3sigma,expected_N_15mm_16h
Sn112E190,ypol,g050,g060,8.642045454545455,7.051948051948052,1.5900974025974026,2186.2018717953556,221058.43567974935
Sn112E190,ypol,g060,g070,7.051948051948052,5.951020408163266,1.1009276437847868,2716.638621038448,221058.43567974935
Sn112E190,ypol,g070,g080,5.951020408163266,5.796078431372549,0.15494197679071675,104032.02943813102,221058.43567974935
Sn112E190,zpol,g050,g060,1.4545454545454546,0.7225806451612903,0.7319648093841643,79.76472544205178,1097183.954296421
Sn112E190,zpol,g060,g070,0.7225806451612903,0.38,0.3425806451612903,101.73804758087688,1097183.954296421
Sn112E190,zpol,g070,g080,0.38,0.2505643340857788,0.12943566591422123,293.0028571714526,1097183.954296421
Sn124E190,ypol,g050,g060,12.47953216374269,7.807272727272728,4.672259436469962,519.2875342842515,274994.7615827033
Sn124E190,ypol,g060,g070,7.807272727272728,5.846368715083799,1.9609040121889283,978.8566811377729,274994.7615827033
Sn124E190,ypol,g070,g080,5.846368715083799,4.994871794871795,0.8514969202120044,2773.826538991526,274994.7615827033
Sn124E190,zpol,g050,g060,6.375,3.1044776119402986,3.2705223880597014,131.3853449563246,1879560.0336188267
Sn124E190,zpol,g060,g070,3.1044776119402986,1.6589147286821706,1.445562883258128,117.30703608124061,1879560.0336188267
Sn124E190,zpol,g070,g080,1.6589147286821706,0.5570032573289903,1.1019114713531803,36.49195276210209,1879560.0336188267
