target,pol,gamma,gamma_value,stage,N_sim,n_pos,n_neg,R,sigma_R_sim,expected_N_15mm_16h,sigma_R_15mm_16h,useful_fraction,rate_scale_vs_sn124
Sn124E190,ypol,g050,0.5,truth,3399,3179,220,14.45,1.007364924398845,274994.7615827033,0.11199540299514782,0.005660414395154742,1.0
Sn124E190,ypol,g050,0.5,reco_plane,2305,2134,171,12.47953216374269,0.9918328924214351,274994.7615827033,0.09080541784749953,0.005660414395154742,1.0
Sn124E190,ypol,g060,0.6,truth,3647,3274,373,8.777479892761393,0.4796715620099348,274994.7615827033,0.05523948775693805,0.005660414395154742,1.0
Sn124E190,ypol,g060,0.6,reco_plane,2422,2147,275,7.807272727272728,0.5000391990644852,274994.7615827033,0.046927661155771905,0.005660414395154742,1.0
Sn124E190,ypol,g070,0.7,truth,3591,3133,458,6.840611353711791,0.342207625649884,274994.7615827033,0.03910525976055342,0.005660414395154742,1.0
Sn124E190,ypol,g070,0.7,reco_plane,2451,2093,358,5.846368715083799,0.33437340661258486,274994.7615827033,0.03156757165713665,0.005660414395154742,1.0
Sn124E190,ypol,g080,0.8,truth,3411,2907,504,5.767857142857143,0.2783027968822997,274994.7615827033,0.03099532683100291,0.005660414395154742,1.0
Sn124E190,ypol,g080,0.8,reco_plane,2338,1948,390,4.994871794871795,0.27708934059612217,274994.7615827033,0.02554935037246628,0.005660414395154742,1.0
Sn124E190,zpol,g050,0.5,truth,551,477,74,6.445945945945946,0.8053550927755402,1879560.0336188267,0.013789074178672985,0.03868833213266096,1.0
Sn124E190,zpol,g050,0.5,reco_plane,354,306,48,6.375,0.9896929763820697,1879560.0336188267,0.013582321879082631,0.03868833213266096,1.0
Sn124E190,zpol,g060,0.6,truth,443,354,89,3.97752808988764,0.4716485288681766,1879560.0336188267,0.007240894942654593,0.03868833213266096,1.0
Sn124E190,zpol,g060,0.6,reco_plane,275,208,67,3.1044776119402986,0.43609972252313894,1879560.0336188267,0.005275019341757499,0.03868833213266096,1.0
Sn124E190,zpol,g070,0.7,truth,527,304,223,1.3632286995515694,0.12019455802788465,1879560.0336188267,0.002012621054211985,0.03868833213266096,1.0
Sn124E190,zpol,g070,0.7,reco_plane,343,214,129,1.6589147286821706,0.18491382459126068,1879560.0336188267,0.0024979764540616037,0.03868833213266096,1.0
Sn124E190,zpol,g080,0.8,truth,749,247,502,0.4920318725099601,0.038241402337522545,1879560.0336188267,0.0007633902656227947,0.03868833213266096,1.0
Sn124E190,zpol,g080,0.8,reco_plane,478,171,307,0.5570032573289903,0.05315014336224336,1879560.0336188267,0.000847598711274761,0.03868833213266096,1.0
