px_bin,n,n_det,n_reco,eps_geom,eps_det,eps_reco,pred_eps_det_direct,residual
-200,10000,109,100,0.0,0.0109,0.01,0.0,0.0109
-180,10000,107,103,0.2,0.0107,0.0103,0.08541691673345381,-0.0747169167334538
-160,10000,58,55,0.6,0.0058,0.0055,0.2562507502003614,-0.25045075020036145
-140,10000,452,449,1.0,0.0452,0.0449,0.42708458366726904,-0.381884583667269
-120,10000,2437,2423,1.0,0.2437,0.2423,0.42708458366726904,-0.18338458366726904
-100,9687,4125,4112,1.0,0.4258284298544441,0.4244864251058119,0.42708458366726904,-0.001256153812824956
-80,9688,4202,4186,1.0,0.43373245251857967,0.4320809248554913,0.42708458366726904,0.006647868851310634
-60,9687,4160,4139,1.0,0.4294415195623,0.42727366573758646,0.42708458366726904,0.0023569358950309427
-40,9688,4029,4010,1.0,0.4158753096614368,0.4139141205615194,0.42708458366726904,-0.011209274005832215
-20,9687,4168,4156,1.0,0.43026736863838133,0.42902859502425933,0.42708458366726904,0.0031827849711122957
0,9688,4196,4178,1.0,0.43311312964492155,0.4312551610239472,0.42708458366726904,0.006028545977652511
20,9687,4004,3986,1.0,0.41333746257871373,0.4114793021575307,0.42708458366726904,-0.013747121088555303
40,9688,4162,4141,1.0,0.42960363336085877,0.4274360033030553,0.42708458366726904,0.0025190496935897366
60,9687,4061,4048,1.0,0.4192216372457933,0.41787963249716115,0.42708458366726904,-0.007862946421475725
80,9688,4221,4204,1.0,0.4356936416184971,0.43393889347646575,0.42708458366726904,0.008609057951228072
100,9687,4183,4157,1.0,0.4318158356560339,0.4291318261587695,0.42708458366726904,0.00473125198876484
120,9688,3811,3797,0.2,0.39337324525185796,0.39192815854665564,0.08541691673345381,0.30795632851840415
140,9687,2325,2313,0.0,0.24001238773614123,0.2387736141220192,0.0,0.24001238773614123
160,9688,575,570,0.0,0.05935177539223782,0.05883567299752271,0.0,0.05935177539223782
180,9687,118,115,0.0,0.012181273872199855,0.011871580468669351,0.0,0.012181273872199855
200,8440,248,222,0.0,0.029383886255924172,0.026303317535545025,0.0,0.029383886255924172
