px_bin,L1,L2,L1_frac,truth_ray_x_at_neut_pz627
-200,115,46,0.7142857142857143,-2193.6806637900672
-180,135,57,0.703125,-1935.8416964194273
-160,26,10,0.7222222222222222,-1677.1520471794458
-140,233,52,0.8175438596491228,-1417.6074991625749
-100,2177,2000,0.5211874551113239,-895.9366993486071
0,2402,2492,0.4908050674295055,423.5016444403322
100,2117,2172,0.49358824900909304,1765.1829501489897
120,1985,1717,0.5361966504592113,2036.2379462977508
140,1397,728,0.6574117647058824,2308.209917799521
160,386,107,0.7829614604462475,2581.103525711104
180,112,37,0.7516778523489933,2854.923462732936
200,388,127,0.7533980582524272,3129.67445347808
