target,pol,gamma,layer,N_parent,N_truth,N_reco,N_both,N_truth_only,N_reco_only,truth_pass_rate,reco_pass_rate,selection_efficiency,selection_purity,jaccard_overlap
Sn112E190,ypol,g050,loose,239468,123472,25839,22797,100675,3042,0.5156096012828436,0.10790168206190388,0.18463295322016327,0.8822709857192615,0.180193496371943
Sn112E190,ypol,g050,mid,239468,105319,25296,21777,83542,3519,0.4398040656789216,0.10563415571182788,0.20677180755609148,0.8608870967741935,0.20008636689391573
Sn112E190,ypol,g050,tight,239468,10001,1795,1402,8599,393,0.04176340888970551,0.007495782317470392,0.1401859814018598,0.781058495821727,0.13488551087165673
Sn112E190,ypol,g050,tight_px60,239468,2521,1791,1378,1143,413,0.010527502630831676,0.007479078624283829,0.5466084886949624,0.7694025683975433,0.46966598500340834
Sn112E190,ypol,g060,loose,385676,120066,27107,22148,97918,4959,0.31131312293220215,0.07028438378327923,0.18446521080072625,0.817058324418047,0.1771485702859428
Sn112E190,ypol,g060,mid,385676,101193,26460,21089,80104,5371,0.2623782656945208,0.06860680986112695,0.20840374334193076,0.7970143613000756,0.19789985360909876
Sn112E190,ypol,g060,tight,385676,11720,1999,1478,10242,521,0.030388201495555857,0.005183107063960423,0.12610921501706485,0.7393696848424212,0.12074176946327915
Sn112E190,ypol,g060,tight_px60,385676,2635,1987,1440,1195,547,0.00683215963658615,0.005151992864476918,0.5464895635673624,0.7247106190236537,0.4525455688246386
Sn112E190,ypol,g070,loose,475929,118097,27469,21271,96826,6198,0.2481399536485484,0.05771659218076646,0.1801146515152798,0.7743638283155557,0.17113319119835874
Sn112E190,ypol,g070,mid,475929,98933,26854,20212,78721,6642,0.20787344330772026,0.05642438262850131,0.20429987971657587,0.7526625456170403,0.19144683874023205
Sn112E190,ypol,g070,tight,475929,12597,2003,1317,11280,686,0.026468233707128586,0.004208610948271696,0.10454870207192189,0.6575137294058911,0.09914928856433035
Sn112E190,ypol,g070,tight_px60,475929,2501,1995,1279,1222,716,0.005254985512544938,0.004191801718323531,0.5113954418232707,0.6411027568922306,0.3975753807895555
Sn112E190,ypol,g080,loose,600444,117736,28965,21098,96638,7867,0.19608156630759904,0.048239302915842275,0.1791975266698376,0.7283963404108407,0.16797369489582256
Sn112E190,ypol,g080,mid,600444,98151,28295,20025,78126,8270,0.16346403661290645,0.04712346197147444,0.2040223736895192,0.7077222124050185,0.18816774884656223
Sn112E190,ypol,g080,tight,600444,13528,2203,1369,12159,834,0.022529994470758305,0.003668951642451253,0.10119751626256653,0.6214253290966864,0.09532098593510653
Sn112E190,ypol,g080,tight_px60,600444,2618,2192,1325,1293,867,0.00436010685426118,0.0036506318657526762,0.5061115355233002,0.604470802919708,0.3802008608321377
Sn124E190,ypol,g050,loose,214652,120812,27808,24978,95834,2830,0.5628272739131245,0.12954922386001527,0.20675098500148992,0.8982307249712314,0.2020187314990052
Sn124E190,ypol,g050,mid,214652,103174,27205,23911,79263,3294,0.4806570635260794,0.1267400257160427,0.23175412410103322,0.8789193163021504,0.22458391253710036
Sn124E190,ypol,g050,tight,214652,8963,2299,1874,7089,425,0.041755958481635394,0.010710359092857277,0.20908178065379895,0.815137016093954,0.1996165317426502
Sn124E190,ypol,g050,tight_px60,214652,3399,2290,1853,1546,437,0.01583493282149712,0.010668430762350222,0.5451603412768461,0.8091703056768559,0.4830552659019812
Sn124E190,ypol,g060,loose,359931,116709,27822,23081,93628,4741,0.32425381531460196,0.07729814881185561,0.1977653822755743,0.8295952843073826,0.19004528612597776
Sn124E190,ypol,g060,mid,359931,98884,27245,22048,76836,5197,0.2747304344443796,0.07569506377611264,0.22296832652400791,0.8092494035602863,0.2118350131147856
Sn124E190,ypol,g060,tight,359931,10369,2514,1904,8465,610,0.02880829936849007,0.006984672062145245,0.18362426463496961,0.7573587907716786,0.17342198743054923
Sn124E190,ypol,g060,tight_px60,359931,3647,2504,1868,1779,636,0.01013249761759893,0.006956888959272749,0.5122018097066082,0.7460063897763578,0.436142890497315
Sn124E190,ypol,g070,loose,512150,116642,29277,22449,94193,6828,0.2277496827101435,0.057164893097725274,0.1924606916891,0.7667793831335178,0.18181744553332793
Sn124E190,ypol,g070,mid,512150,98371,28635,21358,77013,7277,0.19207458752318657,0.05591135409547984,0.21711683321304043,0.7458704382748385,0.20216189610782978
Sn124E190,ypol,g070,tight,512150,11722,2667,1911,9811,756,0.0228878258322757,0.005207458752318657,0.16302678723767275,0.7165354330708661,0.153149543196025
Sn124E190,ypol,g070,tight_px60,512150,3591,2654,1863,1728,791,0.007011617690129845,0.005182075563799668,0.518796992481203,0.7019593067068576,0.425148334094021
Sn124E190,ypol,g080,loose,594416,117167,29742,21978,95189,7764,0.19711279642539906,0.05003566525800113,0.18757841371717293,0.7389550131127698,0.17592110845186543
Sn124E190,ypol,g080,mid,594416,98452,29083,20882,77570,8201,0.16562811229845764,0.04892701407768297,0.21210336001300126,0.7180139600453873,0.19579383608524842
Sn124E190,ypol,g080,tight,594416,12521,2611,1800,10721,811,0.021064372426045058,0.00439254663400716,0.14375848574395017,0.6893910379165071,0.135013501350135
Sn124E190,ypol,g080,tight_px60,594416,3411,2592,1740,1671,852,0.005738405426502651,0.004360582487685392,0.5101143359718557,0.6712962962962963,0.40816326530612246
